team_id,player_p,name_p,player_q,name_q,minutes_together,jdi,jdi90
364,453,Alexis Mac Allister,11856,Enzo Fernandez,434.58333333333337,0.09141233167936999,0.01893102937942849
362,241,Leander Dendoncker,4498,Amadou Onana,43.68333333333333,0.009186995121867245,0.01892780376119158
382,13993,Sultan Al-Ghannam,14002,Hattan Bahebri,2.3833333333333333,0.0005006849227507121,0.018906983096880037
386,13813,Fran Karacic,13815,Mathew Leckie,74.85,0.015716265373260586,0.018897313074060826
58,2111,Hirving Lozano,3299,César Montes,267.1166666666667,0.05596450500892455,0.018856200601996168
371,100,Mateo Kovacic,8136,Ivan Perisic,626.5,0.13124120880210513,0.018853485701818773
385,1593,Óscar Duarte,13785,Gerson Torres,64.06666666666666,0.01341441219104533,0.018844387573268676
369,1545,Mathí­as Olivera,13929,Nicolas De La Cruz,34.483333333333334,0.0072165301918127285,0.018834829886799773
381,5195,Piero Hincapie,13049,Gonzalo Plata,282.0,0.059007629686841596,0.018832222240481363
57,2087,Takehiro Tomiyasu,2088,Maya Yoshida,164.75,0.034379487909892266,0.018780903865798507
371,1687,Luka Modric,8136,Ivan Perisic,625.4,0.13018047982493222,0.018733999335215704
360,13951,Homam Ahmed,13954,Abdulaziz Hatem,194.05,0.04032125190809098,0.01870091559767167
371,40,Dejan Lovren,1687,Luka Modric,536.0,0.11116474463006115,0.01866572204609236
384,1931,Ethan Ampadu,7966,Kieffer Moore,216.28333333333333,0.044843743228928826,0.018660415615027792
364,453,Alexis Mac Allister,13226,German Pezzella,17.116666666666667,0.003547012760708655,0.01865031052368718
368,4779,Nico Schlotterbeck,4868,David Raum,98.16666666666667,0.0203139635116402,0.01862400729420324
372,428,Ismaïla Sarr,13228,Youssouf Sabaly,365.18333333333334,0.07535277772608136,0.018570809169861684
381,9837,Jackson Porozo,13935,Hernan Galindez,108.36666666666667,0.02235945859059995,0.018569836417908294
382,13994,Saud Abdulhamid,14011,Saleh Al-Shehri,224.08333333333334,0.04617844570642595,0.018546939889527714
371,13856,Josip Sutalo,13861,Bruno Petkovic,30.35,0.006252969380702097,0.018542578064684963
370,4566,Rubén Vargas,8397,Fabian Rieder,58.2,0.011980397089318744,0.018526387251523828
380,1228,Jonathan Osorio,14031,Milan Borjan,125.01666666666668,0.025733203878592913,0.01852543673435565
360,13945,Boualem Khoukhi,13964,Ahmed Alaaeldin,11.383333333333333,0.0023420487621777413,0.018516930184128557
384,286,Chris Mepham,6018,Connor Roberts,215.51666666666665,0.044338822828803734,0.018515941789153213
375,12642,Ivan Ilić,12664,Saša Lukić,8.733333333333333,0.001793662890304406,0.01848431222832785
378,7649,Mohamed Drager,14029,Taha Yassine Khenissi,7.666666666666667,0.0015739175188354013,0.01847642304719819
362,22,Kevin De Bruyne,4684,Thorgan Hazard,109.9,0.02253919822342254,0.018457942130191345
366,8032,Kenneth Taylor,8134,Denzel Dumfries,10.083333333333334,0.0020608228674947287,0.01839412146193642
372,3895,Ismail Jakobs,13901,Pape Abou Cissé,40.81666666666666,0.008326251924775922,0.018359232500526738
376,8042,Wojciech Szczesny,12820,Jakub Kiwior,376.23333333333335,0.07669354790336107,0.018346113169050667
367,200,Kasper Schmeichel,4882,Robert Skov,27.066666666666666,0.0055142828908562895,0.018335669710975347
378,14013,Aymen Dahmen,14023,Mohamed Ali Ben Romdhane,73.83333333333333,0.015031709362600426,0.018323076875404586
57,2099,Takuma Asano,13797,Shogo Taniguchi,62.46666666666667,0.012717419630078882,0.01832285645742422
371,4892,Josko Gvardiol,5968,Lovro Majer,110.58333333333334,0.022509135163098683,0.018319416711489508
360,13942,Meshaal Barsham,13953,Karim Boudiaf,100.65,0.02046038527663072,0.018295426476868003
376,4625,Robert Lewandowski,13849,Artur Jedrzejczyk,24.1,0.004894663333802468,0.018278825727893033
365,8000,Joao Mario,8538,Diogo Costa,93.63333333333333,0.019006133435666473,0.01826862238387308
371,4883,Andrej Kramaric,5968,Lovro Majer,60.8,0.012333482332566053,0.01825679950544317
58,3343,Guillermo Ochoa,3455,Luis Chávez,291.35,0.059032729072821186,0.01823561220715259
368,4602,Manuel Neuer,4689,Youssoufa Moukoko,9.15,0.0018530013731474135,0.01822624301456472
376,1896,Matty Cash,4851,Krzysztof Piatek,39.599999999999994,0.008019095569366296,0.01822521720310522
361,1683,Casemiro,8050,Alex Sandro,182.64999999999998,0.03696479529821599,0.01821424350856523
380,11790,Steven Vitoria,12315,Sam Adekugbe,105.65,0.021379125601726223,0.018212222471891717
384,6018,Connor Roberts,8062,Aaron Ramsey,215.51666666666665,0.043552589567915516,0.018187609903854596
