team_id,team_name,team_color,flag_code,player_p,name_p,pos_p,role_p,player_q,name_q,pos_q,role_q,minutes_together,n_interactions,joi,joi90,jdi,jdi90,goals_together,assists_together,assists_pq,assists_qp
361,Brazil,#3399ff,br,44,Fabinho,DM,MID,9330,Dani Alves,RB,DEF,100.05,8.0,0.018288968196598962,0.01645184545421196,0.0812561199668416,0.0730939609896626,0,0,0,0
377,South Korea,#ff0000,kr,2443,Moon-hwan Kim,RB,DEF,13918,Sang-ho Na,LW,MID,124.36666666666667,19.0,0.02272701850604192,0.016446783695071878,0.053308890633938615,0.03857786242606118,0,0,0,0
367,Denmark,#ff0033,dk,8099,Rasmus Kristensen,RWB,MID,11967,Victor Nelsson,RCB,DEF,91.58333333333333,3.0,0.016734561770532792,0.016445247235828405,-0.015138250428948752,-0.014876533633543817,0,0,0,0
57,Japan,#3399ff,jp,2099,Takuma Asano,RW,MID,13799,Shuichi Gonda,GK,GK,153.88333333333333,1.0,0.028087409792216154,0.016427164830279135,0.06440095714705389,0.0376654574454772,0,0,0,0
360,Qatar,#ffffcc,qa,13951,Homam Ahmed,LWB,MID,13963,Mohammed Muntari,CF,FWD,65.5,2.0,0.011938824119203176,0.016404491156157035,0.004756533123638136,0.0065356943683577435,0,0,0,0
50,England,#ffffff,gb-eng,10,John Stones,RCB,DEF,2005,Kalvin Phillips,DM,MID,36.78333333333333,3.0,0.006672460549478338,0.016325911629897157,-0.04047031006273128,-0.09902114831841818,0,0,0,0
373,Iran,#ffffff,ir,13971,Ehsan Hajsafi,LM,MID,13980,Saeid Ezatolahi,CM,MID,190.89999999999998,9.0,0.03448280930236376,0.016256955669003346,-0.008747168411833544,-0.004123861482792137,0,0,0,0
365,Portugal,#ffffff,pt,127,Diogo Dalot,RB,DEF,8079,Matheus Nunes,CM,MID,64.4,13.0,0.011623646092343244,0.01624422590544863,0.02761730546395544,0.03859561322602467,0,0,0,0
378,Tunisia,#ffffff,tn,9824,Montassar Talbi,LCB,DEF,14025,Youssef Msakni,LW,MID,175.39999999999998,9.0,0.03164699924222401,0.016238483077537974,0.08490995041780863,0.043568389610050044,0,0,0,0
378,Tunisia,#ffffff,tn,9824,Montassar Talbi,LCB,DEF,14013,Aymen Dahmen,GK,GK,296.55,15.0,0.05347036484765246,0.016227728330091794,0.11944763336512704,0.036251178563012756,0,0,0,0
368,Germany,#ffffff,de,90,Antonio Rüdiger,LCB,DEF,4623,Serge Gnabry,RW,MID,273.3333333333333,9.0,0.049221421439613,0.016207053400848184,-0.15113896277720484,-0.049765268231518674,0,0,0,0
367,Denmark,#ff0033,dk,395,Pierre-Emile Höjbjerg,CM,MID,1536,Martin Braithwaite,CF,FWD,106.6,2.0,0.019195153535224788,0.016206039570077213,0.02129523094660667,0.017979088041225146,0,0,0,0
375,Serbia,#ffffff,rs,3880,Strahinja Pavlovic,LCB,DEF,12561,Sergej Milinković-Savić,LW,MID,219.48333333333332,18.0,0.039479699019256076,0.01618880512597637,-0.14593652055813192,-0.059841841522812085,0,0,0,0
386,Australia,#003333,au,7478,Milos Degenek,RB,DEF,9290,Bailey Wright,RCB,DEF,22.8,1.0,0.004100076117879874,0.016184510991631082,-0.0007314324588863916,-0.0028872333903410194,0,0,0,0
51,United States,#0066cc,us,916,Walker Zimmerman,RCB,DEF,13121,Yunus Musah,CM,MID,283.56666666666666,20.0,0.05098265507004056,0.016181164768909077,0.1478010319633502,0.04690993138604039,0,0,0,0
385,Costa Rica,#ff0000,cr,3316,Joel Campbell,CF,FWD,13780,Keysher Fuller,RWB,MID,265.9,15.0,0.04776269134592866,0.01616638669098751,-0.21328616082031274,-0.07219163021371999,0,0,0,0
373,Iran,#ffffff,ir,8561,Mehdi Taremi,AM,FWD,12235,Ali Karimi,CM,MID,132.38333333333333,6.0,0.023671100353387656,0.016092652890380633,-0.009549473323949549,-0.006492151070039981,0,0,0,0
373,Iran,#ffffff,ir,12222,Majid Hosseini,RCB,DEF,13980,Saeid Ezatolahi,CM,MID,225.46666666666667,15.0,0.04020126404582129,0.016047222490200692,-0.002171854366977969,-0.0008669436414607504,0,0,0,0
367,Denmark,#ff0033,dk,92,Andreas Christensen,LCB,DEF,200,Kasper Schmeichel,GK,GK,290.7833333333333,27.0,0.05183058328618988,0.016042021536391664,0.13322310603753101,0.04123372342538359,0,0,0,0
374,Morocco,#ffffff,ma,1785,Bono,GK,GK,9820,Achraf Dari,RCB,DEF,200.61666666666667,16.0,0.035756721308142295,0.01604106463935934,0.07950579560994497,0.03566763282327016,0,0,0,0
383,Ghana,#ffffff,gh,4404,Alidu Seidu,RWB,MID,14040,Andre Ayew,AM,FWD,119.03333333333333,5.0,0.021214580715729375,0.016040147838832067,-0.055189617108310746,-0.041728357936835346,0,0,0,0
371,Croatia,#ffffff,hr,40,Dejan Lovren,RCB,DEF,100,Mateo Kovacic,CM,MID,530.8333333333334,44.0,0.09459072287806933,0.01603735960884064,0.11173504000621605,0.018944088415496597,0,0,0,0
58,Mexico,#006600,mx,1384,Hector Herrera,CM,MID,3367,Henry Martín,CF,FWD,70.46666666666667,3.0,0.012549854786639007,0.016028669784259847,0.05499613674673663,0.07024104504077054,0,0,0,0
362,Belgium,#ff0000,be,1672,Thibaut Courtois,GK,GK,5139,Romelu Lukaku,CF,FWD,59.08333333333333,1.0,0.010519810434363064,0.01602453493527801,-0.0005543956239182184,-0.0008444954496920676,0,0,0,0
365,Portugal,#ffffff,pt,8555,Otavio,CM,MID,8564,Pepe,RCB,DEF,141.61666666666667,20.0,0.02512527152571252,0.01596757281850625,-0.10339901026898327,-0.06571197545633865,0,0,0,0
364,Argentina,#6633cc,ar,453,Alexis Mac Allister,CM,MID,8138,Lautaro Martinez,CF,FWD,84.0,2.0,0.014896671812892316,0.015960719799527484,0.0646780243431603,0.06929788322481462,0,0,0,0
52,Spain,#cc0000,es,1383,Koke,CM,MID,4908,Dani Olmo,LW,MID,64.78333333333333,2.0,0.011455058915021875,0.01591389712917883,-0.039192534341251244,-0.05444807960966214,0,0,0,0
379,Cameroon,#006633,cm,1168,Nouhou Tolo,LB,DEF,1977,André Zambo Anguissa,CM,MID,276.68333333333334,19.0,0.04886155756700711,0.015893766090105316,-0.012550159180090262,-0.0040823359781029704,0,0,0,0
386,Australia,#003333,au,435,Mathew Ryan,GK,GK,13824,Kye Rowles,LCB,DEF,386.9,47.0,0.0683129232664745,0.01589083249930914,-0.05537749897545329,-0.012881816768650288,0,0,0,0
364,Argentina,#6633cc,ar,1877,Guido Rodríguez,DM,MID,8138,Lautaro Martinez,CF,FWD,56.766666666666666,2.0,0.01001840764980845,0.01588355881061821,0.06780267295884256,0.10749689782083083,0,0,0,0
372,Senegal,#ffffff,sn,9993,Kalidou Koulibaly,RCB,DEF,13901,Pape Abou Cissé,RCB,DEF,121.41666666666666,6.0,0.0214072041246846,0.01586807169159874,0.043529556169232486,0.03226624616525126,0,0,0,0
386,Australia,#003333,au,8257,Harry Souttar,RCB,DEF,8854,Jackson Irvine,CM,MID,373.75,23.0,0.06554221606405425,0.015782740992013062,-0.030257908628319015,-0.007286185355314278,0,0,0,0
360,Qatar,#ffffcc,qa,13961,Akram Afif,CF,FWD,13963,Mohammed Muntari,CF,FWD,79.15,5.0,0.01385186487860593,0.015750699167081914,-0.0029283745303783364,-0.0033298004767410017,0,0,0,0
372,Senegal,#ffffff,sn,9993,Kalidou Koulibaly,RCB,DEF,13032,Pathe Ciss,CM,MID,155.05,10.0,0.02713149187021762,0.015748689250690652,-0.01926925332932103,-0.011184990645849033,0,0,0,0
376,Poland,#ffffff,pl,4625,Robert Lewandowski,CF,FWD,12766,Bartosz Bereszynski,LB,DEF,365.43333333333334,11.0,0.06385956864697565,0.015727523063653586,0.042873638661551056,0.010559046281691858,1,0,0,0
360,Qatar,#ffffcc,qa,13953,Karim Boudiaf,CM,MID,13954,Abdulaziz Hatem,CM,MID,116.28333333333333,13.0,0.02029972173415422,0.015711408537255667,0.05036291024601378,0.038979463283427614,0,0,0,0
369,Uruguay,#99ffff,uy,8071,Sebastian Coates,LCB,DEF,8133,Matias Vecino,CM,MID,127.66666666666667,7.0,0.022228978396164743,0.015670559182674883,0.08461788037529054,0.05965229164837714,0,0,0,0
371,Croatia,#ffffff,hr,6019,Nikola Vlasic,AM,FWD,8330,Mario Pasalic,AM,FWD,40.75,3.0,0.007089716002380345,0.015658268471514875,0.0017284397173019427,0.003817412872568708,0,0,0,0
371,Croatia,#ffffff,hr,4892,Josko Gvardiol,LCB,DEF,5968,Lovro Majer,AM,FWD,110.58333333333334,6.0,0.01923475897788186,0.015654513712217336,0.022509135163098683,0.018319416711489508,1,0,0,0
380,Canada,#000000,ca,963,Tajon Buchanan,RW,MID,14031,Milan Borjan,GK,GK,270.08333333333337,1.0,0.04696285591779408,0.015649455227157546,-0.031883714947722734,-0.010624625777087488,1,0,0,0
