team_id,player_p,name_p,player_q,name_q,minutes_together,n_interactions,joi,joi90,p_initiates_frac
376,3994,Arkadiusz Milik,12514,Piotr Zielinski,97.81666666666666,3,-0.01558913157864169,-0.014343382266939023,0.3333333333333333
369,2075,Facundo Pellistri,13926,Diego Godin,87.31666666666666,4,-0.013987149504446442,-0.014416989372783124,0.25
381,4560,Carlos Gruezo,13937,Angelo Preciado,52.35,3,-0.008415416572748052,-0.014467764881515275,0.6666666666666666
52,1696,Marco Asensio,1841,Pau Torres,40.71666666666667,3,-0.006561694764654248,-0.014503950769190723,1.0
372,2059,Edouard Mendy,9993,Kalidou Koulibaly,387.2166666666667,26,-0.06251239461403663,-0.01452963159797692,0.46153846153846156
50,21,Phil Foden,47,Jordan Henderson,236.63333333333333,19,-0.03822551566538358,-0.01453851138139677,0.5789473684210527
363,3870,Kylian Mbappé,3878,Axel Disasi,47.71666666666667,1,-0.007715117061467262,-0.01455174017880657,0.0
363,1789,Jules Kounde,3870,Kylian Mbappé,483.51666666666665,4,-0.07821305779097479,-0.01455828865158953,0.25
360,13942,Meshaal Barsham,13954,Abdulaziz Hatem,112.36666666666667,1,-0.01821131270738666,-0.01458633767723049,0.0
381,1287,José Cifuentes,6596,Jeremy Sarmiento,63.95,1,-0.010409115768096822,-0.01464926378621914,1.0
364,6895,Rodrigo de Paul,9178,Marcos Acuña,352.5333333333333,14,-0.057749345016206544,-0.014743119472745621,0.5
364,10715,Julian Alvarez,13222,Nahuel Molina,474.16666666666663,12,-0.07832370063656882,-0.014866361456501642,0.5
373,12222,Majid Hosseini,13984,Karim Ansarifard,56.36666666666666,1,-0.009326703147967007,-0.014891838261094572,1.0
381,6596,Jeremy Sarmiento,13049,Gonzalo Plata,88.38333333333334,4,-0.01462501324771107,-0.014892527161538709,0.75
363,1675,Raphael Varane,4622,Kingsley Coman,127.65,5,-0.021316791115757683,-0.015029464946480152,0.4
58,2108,Uriel Antuna,3309,Carlos Rodríguez,34.78333333333333,3,-0.005843916729897791,-0.01512081952153717,0.6666666666666666
379,3934,Karl Toko Ekambi,7605,Olivier Ntcham,32.6,1,-0.005515279155992295,-0.015226230798751733,1.0
384,1698,Gareth Bale,6018,Connor Roberts,172.0,6,-0.029167085814268325,-0.015261847228396217,0.5
